EPI_YEAR,EPI_WEEK,tplot,rh_max_lag,rh_min_lag,t_min_lag,t_max_lag,p_total_lag,LAMBDA_lag,CASES_100K,label
2005,1,2005.0192307692307,97.76714285714286,54.86714285714286,13.515714285714285,27.345714285714287,67.61,-0.12500000000000042,0.07206508630334572,Pre
2005,2,2005.0384615384614,96.41857142857143,40.097142857142856,13.637142857142857,23.614285714285714,45.269999999999996,0.9833333333333333,0.08107322209126394,Pre
2005,3,2005.0576923076924,98.27857142857142,34.00142857142857,15.937142857142858,25.72142857142857,108.51,0.649298597194389,0.04504067893959108,Pre
2005,4,2005.076923076923,94.58857142857143,43.598571428571425,15.774285714285714,28.23857142857143,52.73,0.6679611650485437,0.054048814727509296,Pre
2005,5,2005.0961538461538,98.65142857142857,34.215714285714284,11.124285714285714,25.708571428571428,41.4,0.6555555555555553,0.04504067893959108,Pre
2005,6,2005.1153846153845,97.95571428571428,42.67857142857143,16.627142857142857,25.115714285714287,18.36,0.6629834254143646,0.06305695051542752,Pre
2005,7,2005.1346153846155,98.56142857142858,44.25714285714286,14.438571428571429,28.014285714285712,8.53,0.637837837837838,0.06305695051542752,Pre
2005,8,2005.1538461538462,97.75857142857143,53.402857142857144,13.758571428571429,25.044285714285714,25.92,0.4406779661016949,0.009008135787918215,Pre
2005,9,2005.173076923077,98.63428571428571,63.5,17.711428571428574,26.155714285714286,22.32,0.1016949152542371,0.09008135787918216,Pre
2005,10,2005.1923076923076,98.34857142857143,56.142857142857146,14.835714285714285,26.517142857142858,2.67,-0.02864583333333338,0.06305695051542752,Pre
2005,11,2005.2115384615386,98.79428571428572,54.29571428571428,15.938571428571429,24.717142857142857,88.5,-0.2857142857142858,0.09008135787918216,Pre
2005,12,2005.2307692307693,97.88571428571429,51.11571428571429,14.571428571428571,27.07,35.080000000000005,-0.338709677419355,0.04504067893959108,Pre
2005,13,2005.25,97.4,63.38428571428571,16.274285714285714,27.065714285714286,17.459999999999997,-0.4179894179894179,0.07206508630334572,Pre
2005,14,2005.2692307692307,98.28714285714285,45.73285714285714,17.99,27.605714285714285,69.65,-0.44522471910112354,0.03603254315167286,Pre
2005,15,2005.2884615384614,97.55285714285715,63.027142857142856,16.107142857142858,26.19,10.610000000000001,-0.7599469496021223,0.14413017260669145,Pre
2005,16,2005.3076923076924,99.51857142857143,63.537142857142854,16.435714285714287,24.094285714285714,22.82,-0.1475507765830346,0.09908949366710038,Pre
2005,17,2005.326923076923,97.74142857142857,59.14142857142857,17.075714285714284,26.234285714285715,26,-0.07266435986159168,0.10809762945501859,Pre
2005,18,2005.3461538461538,98.40142857142857,65.88428571428571,18.978571428571428,25.36857142857143,1.77,-0.03854276663146758,0.09008135787918216,Pre
2005,19,2005.3653846153845,98.22428571428571,57.927142857142854,17.978571428571428,27.81142857142857,3.65,-0.12736842105263166,0.054048814727509296,Pre
2005,20,2005.3846153846155,97.87571428571428,65.30285714285715,19.181428571428572,27.822857142857142,15.36,-0.16666666666666666,0.09908949366710038,Pre
2005,21,2005.4038461538462,98.33,62.48142857142857,17.87857142857143,25.071428571428573,127.67,-0.17973372781065067,0.06305695051542752,Pre
2005,22,2005.423076923077,98.68857142857142,74.31142857142858,17.70714285714286,29.177142857142858,0.3,-0.060650887573964266,0.027024407363754648,Pre
2005,23,2005.4423076923076,98.42857142857143,73.08,14.784285714285714,27.487142857142857,2.66,-0.1034077555816686,0.09908949366710038,Pre
2005,24,2005.4615384615386,96.88428571428571,66.16,16.35142857142857,25.207142857142856,0.48000000000000004,-0.1506849315068494,0.07206508630334572,Pre
2005,25,2005.4807692307693,99.42,55.4,17.93857142857143,26.824285714285715,19.84,-0.13698630136986292,0.01801627157583643,Pre
2005,26,2005.5,98.63428571428571,55.31285714285714,17.81,27.664285714285715,3.8800000000000003,-0.04180064308681688,0.10809762945501859,Pre
2005,27,2005.5192307692307,99.65142857142857,59.56142857142857,17.544285714285714,27.687142857142856,11.1,-0.24820659971305598,0.06305695051542752,Pre
2005,28,2005.5384615384614,99.92857142857143,67.94571428571429,19.652857142857144,25.59857142857143,0,-0.3353383458646614,0.054048814727509296,Pre
2005,29,2005.5576923076924,96.60571428571428,52.36571428571428,18.345714285714287,21.56714285714286,10.370000000000001,-0.4889267461669504,0.07206508630334572,Pre
2005,30,2005.576923076923,99.65142857142857,65.93714285714286,17.314285714285713,22.102857142857143,20.71,-0.4855334538878845,0.06305695051542752,Pre
2005,31,2005.5961538461538,100,71.23285714285714,19.021428571428572,25.097142857142856,0.15,-0.4493554327808471,0.08107322209126394,Pre
2005,32,2005.6153846153845,98.82285714285715,62.107142857142854,17.67857142857143,26.29285714285714,17.76,-0.5948453608247423,0.01801627157583643,Pre
2005,33,2005.6346153846155,95.75142857142858,67.16142857142857,16.322857142857142,21.095714285714287,1.16,-0.336,0.03603254315167286,Pre
2005,34,2005.6538461538462,99.45571428571428,60.74142857142857,14.301428571428572,23.957142857142856,3.05,-0.07397959183673461,0.01801627157583643,Pre
2005,35,2005.673076923077,99.69714285714285,60.31142857142857,11.775714285714287,23.632857142857144,24.27,0,0,Pre
2005,36,2005.6923076923076,96.65285714285714,69.81428571428572,13.522857142857143,24.652857142857144,25.78,-0.043367346938775704,0.027024407363754648,Pre
2005,37,2005.7115384615386,99.82142857142857,58.67,14.641428571428571,19.88,34.230000000000004,0.12253289473684185,0.01801627157583643,Pre
2005,38,2005.7307692307693,95.57142857142857,53.277142857142856,12.872857142857143,23.30142857142857,25.54,0.4843749999999997,0.009008135787918215,Pre
2005,39,2005.75,96.35,51.73142857142857,13.425714285714285,19.635714285714286,25.72,0.5677200902934538,0.01801627157583643,Pre
2005,40,2005.7692307692307,82.98142857142857,70.34142857142857,12.15,22.147142857142857,22.41,0,0,Pre
2005,41,2005.7884615384614,98.86571428571429,62.62571428571429,12.281428571428572,21.944285714285716,14.62,0,0,Pre
2005,42,2005.8076923076924,98.85857142857142,54.72428571428571,12.375714285714286,22.79285714285714,52.42,0,0,Pre
2005,43,2005.826923076923,94.43571428571428,48.87428571428571,12.424285714285714,25.98,51.85,0,0,Pre
2005,44,2005.8461538461538,88.18714285714286,67.05285714285715,10.231428571428571,22.357142857142858,24.07,0.569634703196347,0.01801627157583643,Pre
2005,45,2005.8653846153845,97.27857142857142,57,9.537142857142857,27.085714285714285,11.040000000000001,0,0,Pre
2005,46,2005.8846153846155,96.59857142857143,58.69571428571429,11.687142857142858,26.85,42.63,0,0,Pre
2005,47,2005.9038461538462,99.62428571428572,45.53714285714286,10.878571428571428,29.91857142857143,38.11,0.4965753424657531,0.01801627157583643,Pre
2005,48,2005.923076923077,98.39285714285714,53.19714285714286,10.535714285714285,24.17,47.49,0,0,Pre
2005,49,2005.9423076923076,98.87571428571428,50.75142857142857,10.392857142857142,23.068571428571428,22.7,0.39912280701754355,0.009008135787918215,Pre
2005,50,2005.9615384615386,95.44571428571429,34.418571428571425,12.981428571428571,23.681428571428572,33.580000000000005,-0.014492753623188411,0.01801627157583643,Pre
2005,51,2005.9807692307693,97.42,45.05428571428571,12.564285714285715,23.16857142857143,54.800000000000004,0,0,Pre
2005,52,2006,98.31285714285714,37.95428571428572,14.751428571428571,26.81714285714286,29.66,6.335647925065488e-17,0.009008135787918215,Pre
2006,1,2006.0192307692307,97.87142857142858,36.37571428571429,13.545714285714286,29.754285714285714,101.74,-0.6250000000000004,0.06256083482607953,Pre
2006,2,2006.0384615384614,97.0957142857143,32.97428571428571,13.268571428571429,27.342857142857145,1.24,1.303225806451613,0.098309883298125,Pre
2006,3,2006.0576923076924,97.26571428571428,56.97428571428571,13.865714285714287,27.445714285714285,9.17,1.3499061913696067,0.13405893177017045,Pre
2006,4,2006.076923076923,97.43714285714286,59.74142857142857,13.03,24.50857142857143,44.68,0.8473005640612409,0.08937262118011363,Pre
2006,5,2006.0961538461538,97.12428571428572,56.75857142857143,15.98857142857143,24.557142857142857,47.34,1.0719503287070853,0.19661976659625,Pre
