EPI_YEAR,EPI_WEEK,tplot,rh_max_lag,rh_min_lag,t_min_lag,t_max_lag,LAMBDA_lag,p_total_lag,CASES_100K,label
2009,6,2009.1153846153845,89.19857142857143,76.13428571428571,22.04714285714286,24.84857142857143,0.21716287215411578,20.92,1.015376867278059,Pre
2009,7,2009.1346153846155,91.51714285714286,73.56,23.451428571428572,26.055714285714288,0.21341785525620693,8.14,0.4842566597787666,Pre
2009,8,2009.1538461538462,93.08857142857143,76.40142857142857,23.372857142857143,24.127142857142857,0.3345467152019414,13.54,0.2811812863231548,Pre
2009,9,2009.173076923077,92.67857142857143,72.06285714285714,23.462857142857143,26.602857142857143,0.5844369260512319,13.67,0.4373931120582408,Pre
2009,10,2009.1923076923076,95.67,68.11571428571429,23.832857142857144,25.602857142857143,0.3962627406568519,39.69,0.32804483404368057,Pre
2009,11,2009.2115384615386,95.96428571428571,64.61571428571429,24.295714285714286,27.65714285714286,0.5145728643216079,54.12,0.4842566597787666,Pre
2009,12,2009.2307692307693,90.18857142857142,70.42,24.178571428571427,30.24,0.5095347862531436,57.23,0.35928719919069774,Pre
2009,13,2009.25,93.89285714285714,72.44714285714285,23.015714285714285,27.555714285714284,0.5416638484950964,64.95,0.1405906431615774,Pre
2009,14,2009.2692307692307,90.64285714285714,73.71285714285715,24.03,27.724285714285713,0.49831681910569103,19.87,0.2655601037496462,Pre
2009,15,2009.2884615384614,92.15142857142857,76.26,24.08857142857143,28.93285714285714,0.522504036598493,22.48,0.1874541908821032,Pre
2009,16,2009.3076923076924,94.01857142857143,70.63428571428571,24.374285714285715,27.93857142857143,0.6437866802755805,85.53999999999999,0.12496946058806879,Pre
2009,17,2009.326923076923,95.05428571428571,69.97142857142858,23.798571428571428,28.10857142857143,0.6477760334903195,63.08,0.062484730294034396,Pre
2009,18,2009.3461538461538,91.69857142857143,66.98142857142857,23.231428571428573,29.52857142857143,0.6838357233440641,34.72,0.078105912867543,Pre
2009,19,2009.3653846153845,95.30428571428571,67.02857142857142,23.544285714285714,30.214285714285715,0.6135005973715653,28.77,0.1093482780145602,Pre
2009,20,2009.3846153846155,92.58857142857143,62.67,23.307142857142857,28.955714285714286,0.3544317524580682,23.73,0.062484730294034396,Pre
2009,21,2009.4038461538462,94.59857142857143,60.46714285714285,22.225714285714286,27.35142857142857,0.5584789311408016,118.66,0.1093482780145602,Pre
2009,22,2009.423076923077,94.01142857142857,58.94714285714286,21.104285714285716,26.48857142857143,0.6686460807600952,37.33,0.062484730294034396,Pre
2009,23,2009.4423076923076,94.77714285714286,60.74857142857143,21.244285714285713,26.791428571428572,0.6740088105726871,19.39,0.2655601037496462,Pre
2009,24,2009.4615384615386,93.52571428571429,59.68857142857143,20.624285714285715,27.337142857142858,0.6674921206663665,67.74,0.156211825735086,Pre
2009,25,2009.4807692307693,95.35857142857142,62.401428571428575,20.905714285714286,25.591428571428573,0.514656415185007,0.32,0.015621182573508599,Pre
2009,26,2009.5,94.72428571428571,61.294285714285714,19.504285714285714,25.98857142857143,0.12050271069492352,10.54,0.12496946058806879,Pre
2009,27,2009.5192307692307,96.00857142857143,60.68857142857143,20.417142857142856,25.354285714285716,0.2137877614252516,10.99,0.12496946058806879,Pre
2009,28,2009.5384615384614,93.74285714285715,67.15142857142857,18.42142857142857,25.994285714285716,0.15526518063028416,26.200000000000003,0.0937270954410516,Pre
2009,29,2009.5576923076924,92.26,56.72428571428571,18.507142857142856,26.82,-0.07754733994589726,10.51,0.031242365147017198,Pre
2009,30,2009.576923076923,89.90285714285714,59.035714285714285,18.085714285714285,25.105714285714285,-0.11463664278403274,30.279999999999998,0.031242365147017198,Pre
2009,31,2009.5961538461538,91.19714285714285,69.67,18.57,26.695714285714285,-0.10133060388945762,35.06,0.0468635477205258,Pre
2009,32,2009.6153846153845,90.57142857142857,66.53714285714285,19.322857142857142,24.10142857142857,-0.11176470588235292,19.5,0.015621182573508599,Pre
2009,33,2009.6346153846155,86.45428571428572,54.49285714285714,19.01,23.582857142857144,0.02007648183556407,13.89,0.0468635477205258,Pre
2009,34,2009.6538461538462,89.07142857142857,48.68714285714286,18.17,23.222857142857144,0.09256055363321795,24.79,0.015621182573508599,Pre
2009,35,2009.673076923077,86.18857142857142,55.37428571428571,18.33142857142857,24.557142857142857,0.1749578414839798,15.06,0.078105912867543,Pre
2009,36,2009.6923076923076,90.26857142857143,64.01857142857143,19.352857142857143,24.68285714285714,0.21875000000000006,1.47,0.015621182573508599,Pre
2009,37,2009.7115384615386,89.32142857142857,50.037142857142854,19.330000000000002,26.14142857142857,0.3355805243445694,6.37,0,Pre
2009,38,2009.7307692307693,88.92857142857143,53.94428571428571,17.76142857142857,23.755714285714287,0.02170283806343894,0.74,0.031242365147017198,Pre
2009,39,2009.75,92.32142857142857,58.62714285714286,19.18285714285714,22.644285714285715,0.21428571428571405,22.21,0.015621182573508599,Pre
2009,40,2009.7692307692307,88.51857142857143,68.07142857142857,18.647142857142857,25.075714285714284,0,2.8099999999999996,0.0468635477205258,Pre
2009,41,2009.7884615384614,88.31285714285714,57.31285714285714,19.86,26.88142857142857,0.4323308270676692,17.96,0.031242365147017198,Pre
